3324,3229,72.2,70.1,0
2271,2276,71.7,70.2,1
1996,2007,72,70.3,2
1777,1859,71.3,70.6,3
1294,1332,71,70.2,4
1142,1129,73,70.7,5
1541,1600,73.9,71.1,6
2382,2417,73.8,71.6,7
3408,3147,74.3,71.9,8
4510,4414,73.9,71.7,9
6326,6081,72.1,70.8,10
6948,6930,71.9,70.3,11
7993,7979,70.9,69.8,12
8763,8766,69.3,67.3,13
8613,8698,69,66.4,14
8263,8286,69.2,68.3,15
9040,9346,67.1,66.3,16
8628,8631,61.9,64.6,17
8428,8372,66.9,66.2,18
7691,7624,68.9,67.8,19
6692,6725,70.2,69.1,20
5473,5534,70.8,69.5,21
4355,4336,71.6,70.2,22
2836,2805,71.8,70.2,23
